cellnumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity,      y-velocity,      z-velocity
       871, 9.998270273E-01, 2.263231575E-01, 2.549818277E+00,-6.385430694E-03,-1.832202775E-03, 5.301978439E-03
       872, 9.809598327E-01, 2.074559480E-01, 2.549818277E+00,-3.085491946E-03, 7.939624484E-04,-2.665687818E-03
       873, 9.620925784E-01, 1.885887533E-01, 2.549818277E+00,-1.943981159E-03, 4.352633259E-04,-5.145953037E-03
       874, 9.432254434E-01, 1.697215438E-01, 2.549818277E+00,-2.784392855E-04, 1.180179461E-04,-6.897490472E-03
       875, 9.243582487E-01, 1.508543342E-01, 2.549818277E+00, 4.672756419E-03, 5.825069820E-05,-7.890838198E-03
       876, 9.054910541E-01, 1.319871247E-01, 2.549818277E+00,-1.881020842E-03, 7.049395936E-05,-8.016712032E-03
       877, 8.866237998E-01, 1.131199226E-01, 2.549818277E+00,-1.655491942E-04, 7.761498273E-05,-7.962235250E-03
       878, 8.677566648E-01, 9.425272048E-02, 2.549818277E+00,-5.323295682E-06, 4.634477591E-05,-7.800625172E-03
       879, 8.488894105E-01, 7.538551092E-02, 2.549818277E+00, 2.774804670E-05, 2.160098302E-05,-7.672616746E-03
       880, 8.300222158E-01, 5.651830882E-02, 2.549818277E+00, 5.751263598E-05, 7.680067938E-06,-7.530250587E-03
       881, 8.111550212E-01, 3.765110299E-02, 2.549818277E+00, 8.921334666E-05, 1.717042778E-06,-7.354145870E-03
       882, 7.922877669E-01, 1.878389530E-02, 2.549818277E+00, 1.044710225E-04, 4.516097718E-08,-7.145161275E-03
       883, 7.734206319E-01,-8.330964920E-05, 2.549818277E+00, 1.067485064E-04,-3.979286589E-07,-6.897916086E-03
       884, 7.545533776E-01,-1.895051636E-02, 2.549818277E+00, 1.050956707E-04,-1.021430080E-06,-6.609046832E-03
       885, 7.356861830E-01,-3.781772032E-02, 2.549818277E+00, 9.904886247E-05,-2.466953219E-06,-6.280161440E-03
       886, 7.168189883E-01,-5.668492615E-02, 2.549818277E+00, 9.088150546E-05,-4.180532869E-06,-5.914946087E-03
       887, 6.979517341E-01,-7.555212826E-02, 2.549818277E+00, 8.023873670E-05,-5.995481388E-06,-5.515333265E-03
       888, 6.790845990E-01,-9.441933781E-02, 2.549818277E+00, 6.963180203E-05,-7.968051250E-06,-5.088123493E-03
       889, 6.602173448E-01,-1.132865399E-01, 2.549818277E+00, 5.925727964E-05,-9.680953553E-06,-4.638743121E-03
       890, 6.413501501E-01,-1.321537495E-01, 2.549818277E+00, 4.884107693E-05,-1.047433943E-05,-4.172585439E-03
       891, 6.224829555E-01,-1.510209590E-01, 2.549818277E+00, 3.842526712E-05,-1.016927581E-05,-3.695015330E-03
       892, 6.036157608E-01,-1.698881686E-01, 2.549818277E+00, 2.846376810E-05,-9.245371075E-06,-3.210675670E-03
       893, 1.017092824E+00, 2.266908884E-01, 2.549818277E+00, 2.962972794E-04,-4.487936385E-03,-3.490991890E-03
       894, 9.998270273E-01, 2.074559480E-01, 2.549818277E+00,-2.849176293E-03,-3.886983730E-03,-2.001670655E-04
       895, 9.809598327E-01, 1.885887533E-01, 2.549818277E+00,-2.218717709E-03, 6.033399259E-04,-3.127616365E-03
       896, 9.620925784E-01, 1.697215438E-01, 2.549818277E+00,-3.985002404E-04, 3.005597391E-04,-5.611641333E-03
       897, 9.432254434E-01, 1.508543342E-01, 2.549818277E+00, 6.850912701E-03, 1.804558706E-04,-7.431061938E-03
       898, 9.243582487E-01, 1.319871247E-01, 2.549818277E+00,-2.118378179E-03, 1.068004422E-04,-7.907680236E-03
       899, 9.054910541E-01, 1.131199226E-01, 2.549818277E+00,-1.913378073E-04, 8.837519999E-05,-7.968491875E-03
       900, 8.866237998E-01, 9.425272048E-02, 2.549818277E+00,-5.344621241E-05, 7.307285705E-05,-7.894886658E-03
       901, 8.677566648E-01, 7.538551092E-02, 2.549818277E+00,-2.954052434E-05, 3.808485417E-05,-7.808123715E-03
       902, 8.488894105E-01, 5.651830882E-02, 2.549818277E+00, 7.876652489E-06, 1.648074613E-05,-7.679438684E-03
       903, 8.300222158E-01, 3.765110299E-02, 2.549818277E+00, 6.135674630E-05, 4.998692020E-06,-7.524786517E-03
       904, 8.111550212E-01, 1.878389530E-02, 2.549818277E+00, 9.409841005E-05, 5.128919724E-07,-7.349811494E-03
       905, 7.922877669E-01,-8.330964920E-05, 2.549818277E+00, 1.044278906E-04,-4.909439895E-07,-7.145847660E-03
